,text,description,age
31836,"RT @CICTMAR: #7Abr #StayAtHome and the #seaturtles will have you with them at the end/begining of season. Analyze data, prepare reports, de…",,61
31885,"RT @GiveLuckyBack: #TongueOutTuesday   Thanks for ruining another one of my days keeping me from my Beauty Sleep dad.  

When is #Quarantin…","I love animals, specially cats. Stop cruelty against animals,boycott the circus. No Porn or I block!! Adopt! don't shop I don’t like arrogance. I’m liberal 🐾🐱",13
31937,"RT @thetreezz: We’re all in this together. #PawsUp #CatsOfTwitter #dogsoftwitter 🐾
@CatBrothers6 @CatFanatic9 @envisione @bop_tc @FelineCha…","I love animals, specially cats. Stop cruelty against animals,boycott the circus. No Porn or I block!! Adopt! don't shop I don’t like arrogance. I’m liberal 🐾🐱",13
31983,"RT @KathyMyon: Junhong's Instagram post 

""The angle keeps collapsing🙍‍♂️ When will Corona be over... #quarantine"" https://t.co/XR1iIafSLR",,39
32004,"I love the fights between Erik and Sookie.
I prefer cancer 😜 #TrueBlood #Quarantine @AnnaPaquin https://t.co/7nQrE1mcRz",i Love Series. And chill. Amo unos buenos tacos a mitad de la noche. Y jugar videojuegos.  And of course I'm a SWIFTIE since 1991.,29
32011,Im pretty sure that my #drawings looks better in person... #art #sketch #5minutesdrawing #charcoal #pencil… https://t.co/QBf8mpWLKa,"Made in México | 1990 | 5'5 😎
Biochemical & Electromechanical engineer.
Languages Geek 🇲🇽🇬🇧🇯🇵🇰🇷🇮🇹
Traveler 🌎🌍🌏
Sporty 🏊🏂🚴
Dreamer 🌌☄️🌈🌫️",30
32088,I thought this video had a unique point of view on how God has seen us through hard times and now these times… https://t.co/hNsrKHZ93B,"Living with advanced rheumatoid arthritis pain-free. The Dr.'s told me I  would be confined to living in a nursing home by 2002, but I'm doing  just fine.",18
32116,"RT @BARBI3ROXXX: After #quarantine I’m gonna be...

#Covid_19 #COVID19 https://t.co/lvBgXNWisY",want dick tits Pussy or arse don't care what last acc suspended @Owen75784163 can be domme or sub depending. I don’t pay either #,26
32158,RT @MarlonWebb: Coronavirus Rhapsody (by @paramindbeats written by @danajaybein #coronavirus #Quarantine #queen https://t.co/xRyWO9zMuU,Just a small fennec/San Joaquin Kit Fox living in the Central Valley of California.,26
32238,COVID-19 Coping: Dietitian Recommended Healthy Pantry Snacks and Staples.  Check out this detailed article from Sha… https://t.co/CSBHXdfIHZ,Since 2000 our global Registered Dietitian team led by @chocoholicRD has been helping people live healthFULLY + soulFULLY. #nutrition #allfoodsfit #dietitian,20
32304,RT @robmissjane: Thank you @Bindlestiff Open Stage for a Monday night out.. I mean In! #circus #bindlestiff #openstage #quarantine,"Making Cirkus in Brooklyn & beyond since 1995. Free youth circus programs, unforgettable performances, & more.",25
32319,"When I'm in #quarantine for a month now (I lost track of how long I'm in quarantine), and there's a lot of time on… https://t.co/PbQOfDGtte","BIS Alumni (c. 2005-2018)
Fairmont Prep. Class of 2020; IB Diploma Class of 2020
Vanguard University Class of 2024
#writer #historynerd #trombonist",15
32344,"RT @PapaJakeTE: What's everyone been watching in #quarantine lately?!
Comment below!!!
😀 😜 🤔 📹 🍿 🍿",1st: I'm a big fan of @iCarly & @samandcat. wikia for infor on Nick Shows:https://nickelodeonproductions.fandom.com/wiki/User:ICarlyFan2009 & My IMDb⬇️(EL©️),11
32398,"RT @RealDrGina: What has been YOUR best take away of the #quarantine? 

We give you some REALLY good news tonight on our latest response to…","Dems = chaos. They sacrifice American lives to enrich themselves, family and friends. They ship jobs overseas and flood America with cheap labor",18
32431,"RT @OribelOrganics: I wanted LoMein so I made this 😋
Whoever said being #Vegan is hard is clearly stupid.
#VeganAF #CrueltyFree #DairyFree…","Français passionné, travailleur, amusant, prêt à discuter, à découvrir et à échanger avec vous tous et toutes ici",18
32457,"RT @PapaJakeTE: What's everyone been watching in #quarantine lately?!
Comment below!!!
😀 😜 🤔 📹 🍿 🍿","Hi, My name is Teddy, A Helper to iCarlyFan2009, This is his profile: @iCarlyFan2009. I'm also actor too..
My birthday or birth place(Mississippi): 8-15-2013...",11
32491,Making some #facemasks. #craftingwithcats #tyrone #corona #quarantine #diy #cats #kitties #adoptdontshop https://t.co/MvbY0xiBLr,"Teacher of French and Spanish, cat lover, lifelong Pittsburgh Pirates fan. Addicted to Instagram and Sheetz coffee.",21
32515,Watching Star Wars for the first time #quarantine,☕️👍🚨,26
32544,"RT @RealDrGina: What has been YOUR best take away of the #quarantine? 

We give you some REALLY good news tonight on our latest response to…",Government & Politics,19
32632,Very cute ❤️❤️❤️❤️❤️,"volunteer,",12
32673,"RT @realKrisCruz: Happy Tuesday! Yes it sucks to be #Quarantine at home, but hey it’s the new normal. https://t.co/PX9k1OjlOt",,11
32730,"#AMAZING: @ChicagoACC has no pets left to adopt! #Shelters around #Chicago may not be as lucky, so check their stat… https://t.co/BNkWJMubLK","Elmwood-Grove Animal Hospital ""Greeter Emeritus"" (2005-2019). P.S. Drs. Fox, Heneghan & Bobo work here, too. Come on & visit us. We'd love to meet you!",15
32952,"RT @LeeStudiosNYC: @DominicanDark has the #quarantine munchies
https://t.co/rPd4KXAcDz
https://t.co/oiL0D4jXrm https://t.co/0gOMxpiXhD",,41
32981,YAY!!! CATTO OUTTA LAPTOP!!! 🥰🥰🥰🥰,Food. |🐈. | Simmer since 2004. | #TheSims4 Storyteller. | #DieMannschaft fan. | #CalebVatore x #MorgynEmber x #VladStraudIV fangirl for life. | #ギヴン lover!,16
33020,"RT @jayonaboat: 1 photo/day 3,401: the hidden benefit to being forced to run closer to 8pm is that it means I get a nice round of applause…",Passionate about all things French especially the language. I have been learning French since 2001.,19
33063,"RT @VanIslandHealth: There are a lot of terms surrounding COVID-19.
Island Health's Chief Medical Health Officer, Dr. Richard Stanwick, is…","Passionate about health equity, social justice & leveraging health research to improve outcomes. Climate action = health & social justice.",20
33123,#WhatTrumpHasTaughtUs even during #Quarantine it's ok for old people to go for a drive https://t.co/4M8mOv7k0y,"We do not remember the days, we remember the moments...",41
33125,RT @PaulaReidCBS: “It is being contained.” One month ago today Kellyanne Conway chastised me for suggesting #COVID19 was spreading across U…,I BLOCK ALL TRUMP BOTS & TROLLS ) HI there Twitter while due2 family sickness w/gone Now am back need to build up my followers once again so lets Tweet.......🌊,64
33290,"RT @alex_carter2011: It hailed?? We're truly in the apocalypse, aren't we? 
.
.
.
.
#hail #quarantinelife #quarantine #apocalypse #apocalyp…","🇨🇦#stormchaser 🇨🇦 #chasing #storms full time since 2008. owner #pdrsolutions #hail #repair ""fixing it Right before your eyes"" #abstorm #skstorm #onstorm #wx",12
33346,RT @reba: Felt cute. Might gel my hair and stare out the window while I wait for my grocery delivery. IDK. #istherelifeoutthere #quarantine…,,55
33375,"RT @ScarlettJamesCC: Friendly reminder... this is #Hanx
This has always been Tom Hanks. #Pedogate #PizzaGate #QAnon #QAnons #TheGreatAwaken…","I have a Doctorate in Pharmacy 🏥
DO NOT DM ME!",66
33378,RT @dreamchqser: The real Tom Hanks! Must Watch! #QAnon  #WWG1WGA #TheStormIsUponUs #TheGreatAwakening #Q #QBlueSkyQ #WeAreTheNewsNow #Deep…,"I have a Doctorate in Pharmacy 🏥
DO NOT DM ME!",66
33491,"RT @that_is_cray_BM: Little backyard #quarantine chase today. Got this pretty nice #supercell near Cedarburg, WI around 405pm today! Droppe…",,15
33523,"Koreans spend 2 hours daily on virus info searches: poll
#COVID19 #Coronavirus #Quarantine
https://t.co/NSDQgQ0rsz","코리아헤럴드 Established in 1953, Korea's No.1 English Newspaper 발행부수 #1, 영향력 #1 영어신문",67
33578,"This will make an interesting story when it's all over, Dash.","50yrs on air. 16 years at @CTV/@BNN; signed on @680News in 1993 ; @1460CJOY Guelph; CJCI Prince George, BC ; @943CKSY Chatham-Kent; (@CBSRadio & Mutual Network)",27
33609,RT @GaryAWilliams: “Acting Alone At Home With Friends Who Are Also Acting Alone At Home.” Part 21:The improvised @GaryAWilliams @annieserts…,"The Groundlings Theatre & School est. 1974
#sketchcomedy #improvcomedy 
🔊 Groundlings Podcast Network is LIVE 🔊  Link below:",46
33644,"Fica em casa vó!!!!!!

#Repost 9gag download.ins
---
We all have one of these relatives in our lives⠀
📹 thelandofbo… https://t.co/T1pXU4pzpf",Estragando coisas e decepcionando pessoas desde 1981.,39
33805,The super moon tonight and a roaring fire #quarantine https://t.co/FCGAQJACk7,"I am a Cardiac Nurse, I love camping, & own 3 hot air balloons! Favorite ships #Gallavich & #Olicity. Also married with 2 kiddos.",17
33813,"RT @feliciaday: So like, we change pants once a week now? Once a month? Until they're walking on their own? #quarantine",,49
33827,"RT @Missrichrush: In the midst of chaos, there is opportunity. Covered not covid 🙏🏿💕🤰🏾👼🏿 #childrenofthequarn #quarantinebaby #quarantine ht…","•🇯🇲• ||👒 Ora Et Labore|| •Snapchat: jasiiijr👻• No, I’m not on instagram 🙄 🎭 🎭",24
33834,"RT @Ih8uJ: Me trying to take this 
#QuarantineLife like a CHAMP!
😂🤣🤣😭
#ChinaFlu
#Quarantine
#StayAtHome 
#ChineseVirus 😷
#KungFluFighting h…","Army Vet, Conservative, Constitution, 2nd A, NRA, Proud American. Followed by Wiley Coyote .🇺🇸🦅#MAGA",53
33859,"Korea mulls temporary lifting of self-isolation for general elections
#COVID19 #Coronavirus GeneralElections… https://t.co/wRQGxGacP1","코리아헤럴드 Established in 1953, Korea's No.1 English Newspaper 발행부수 #1, 영향력 #1 영어신문",67
33880,"Korea mulls temporary lifting of self-isolation for general elections
#COVID19 #Coronavirus #GeneralElections… https://t.co/wOURWLu5yL","코리아헤럴드 Established in 1953, Korea's No.1 English Newspaper 발행부수 #1, 영향력 #1 영어신문",67
33893,RT @KSherafgan: Let's fight this together #covid #covid19 #corona #medicalwar #quarantine #healthcareworkers #surgerylife #surgeon #wearewo…,"Die Hard Fan of Great Muslim Leader Recep Tayyip Erdogan. 
Aşk Canlı Pakistan Türkiye kardeş
🌹🌹🇵🇰💖🇹🇷🌹🌹",19
33927,"@TimeFlies1289 Movie Reccomendation 🖐🏽+🤟🏽
.
.
James White (2015)
.
.
#STAYFLY
#Quarantine
#QuarantineLife… https://t.co/UjMqQ7noPm",Brand Sharing All Things 80’s/90's/2000’s 🤙🏽,20
33981,"RT @GazTankMotors: From @TaxTheRich100 When you regret keeping you car at the Barn for years 😬 Now #Quarantine gives you time
#ferrari #scu…","Assunto aqui é única e exclusivamente Palmeiras, com raras exceções ;) Foto do perfil é obra (prima) da @midiasep",37
33993,"Has anyone noticed that during this #quarantine the number of robocalls and surveys has dropped to zero?

I know I… https://t.co/eOaNgjNiCQ",I never owned slaves and you never picked cotton! Proud Trump supporter. #MAGA #KAG #patriot #conservative Blocked by @AlyssaMilano @MichaelAvenatti @JohnCusack,49
34085,Tomorrow’s #dinner - #pizza 🍕#homemade #pizzadough and #pizzasauce #quarantine #quarantinecooking… https://t.co/ZaRA61iu1q,"Speaking without a filter since 1982. Did I mention sarcastic, smart-assed & quick witted?",38
34229,@NBCNews Let's not make this a race issue.  Many of us have underlying issues and many haven't taken the… https://t.co/vKF7ZZ7OiO,Full time firefighter/medic Iraq war vet. Sincere passionate no time for BS. Presently disgusted in American politics.,15
34263,"Ever felt like trying your hand at writing but didn't get the time?
Now is the time to pen down your thoughts on a… https://t.co/CoifQQbaNB","Incepted in 1951, WAGO is a global brand of German origin, manufacturing Electrical Interconnections, Automation Controls and Interface Electronics product",69
34273,Super. 🌝 #supermoon #moon #fullmoon #sky #nightsky #night #photography #shotoniphone #quarantine #stayhome https://t.co/W2O1fAohTl,Keepin' it short since 1987 // #writer // Creator of @fash_umm // Pronounced AHN_uhh // Contact: annapapachristos@yahoo.com,33
34330,Quarantine rages on and interrogation has me pinned. Where is #catus ? Will I survive #quarantine? https://t.co/QHcxjCeRx0,"Just a creative Mat, in a hat, one heck of a cool cat. Making people laugh since 1997.",23
34388,"RT @WAGOIndia: Ever felt like trying your hand at writing but didn't get the time?
Now is the time to pen down your thoughts on a topic of…","😊 ""जिंदगी गुजारने के दो तरीके है, जो पसंद है उसे हासिल कर लो या जो हासिल है उसे पसंद करलो।”",54
34408,"@TimeFlies1289 Movie Reccomendation 🖐🏽+🤟🏽
.
.
James White (2015)
.
.
#STAYFLY
#Quarantine
#QuarantineLife… https://t.co/Ck5rSv7qH7",Brand Sharing All Things 80’s/90's/2000’s 🤙🏽,20
34430,"@WAGOIndia the topic of my first blog is
""STAY HOME, STAY SAFE""
#StayIndoorsStaySafe #21DaysChallenge #Quarantine #SocialDistancing","😊 ""जिंदगी गुजारने के दो तरीके है, जो पसंद है उसे हासिल कर लो या जो हासिल है उसे पसंद करलो।”",54
34459,"All my #SportsFans give me some Input,  I know your bored to.  Top 5 ALL TIME lists time:

@MLB
@NFL 
@NBA… https://t.co/uPOeyDqx6b","Poker, Sports, Family. ACR",47
34499,When the time calls we’ll be ready 💚Them Jackrabbits different 🏆🥇#stayhome #staysafe #quarantine… https://t.co/JVoqahiQFv,"Faith, Family, Fast!! Youth track club in North Texas since 2008. Team of All Americans and champions. Follow us & see.",12
34653,RT @SnikersBePimpin: Are you on drugs?!?!?! #MEMES #meme #memesdaily #memecoronavirus #Quarantine https://t.co/mC5iU2Zh1Q,Mexican 🇵🇭 Cali baby,67
34819,RT @laurenzima: Thank you @jk_rowling for #HarryPotter 🙏 In tough times I am grateful for the stories and characters I love: because we hav…,,15
34852,Super. 🌝 #supermoon #moon #fullmoon #sky #nightsky #night #photography #shotoniphone #quarantine #stayhome https://t.co/HoWizNDAKW,Keepin' it short since 1987 // #writer // Creator of @fash_umm // Pronounced AHN_uhh // Contact: annapapachristos@yahoo.com,33
34883,"RT @GazTankMotors: From @TaxTheRich100 When you regret keeping you car at the Barn for years 😬 Now #Quarantine gives you time
#ferrari #scu…",OHANA!!!!,47
34913,Who knew you could get drunk drinking water! #dancing4dylan #dylandances4u #adambamdance #covid19 #quarantine… https://t.co/hv3FfDxTC4,Own Askew Real Estate / Seminole County Firefighter Paramedic. Hall of Fame Bench Rider @ UCF Football 1998-2000. Grew up and will always be a []_[] fan.,22
34956,"RT @LaurenLipman: The 6 BEST things you can do for yourself while in Quarantine! I promise you'll like all 6 of them 😎 have fun, enjoy, AND…","✨9/15/18✨ TN retweeted 2x liked 2x, replied 3x 💘 TN follows on tumblr (down-in-flames13)!!! TS liked x4?!",31
34957,"RT @LaurenLipman: The 6 BEST THINGS To Do During Quarantine

https://t.co/ZieDGn2Qsx

These are the things I've been doing that's been keep…","✨9/15/18✨ TN retweeted 2x liked 2x, replied 3x 💘 TN follows on tumblr (down-in-flames13)!!! TS liked x4?!",31
35435,"Open tomorrow from 7am-6pm! 

#easterbasket #springgoodies #sweettooth #quarantine #snacks #madeinoklahoma #bread @… https://t.co/taLfmKAGYe","Best homemade breads, granola, and cookies under the sky!!!  Locally owned and operated since 1996",24
35577,RT @nickcarter: Awesome job girls! #StayHome and #staysafe so we can all be together soon ❤️,Fangirl Disney addict Tattoo Lover Bunny mom Book Worm ❤,15
35580,RT @nickcarter: Awesome job girls! #StayHome and #staysafe so we can all be together soon ❤️,"Casi profe de danzas folklóricas argentinas.
Futura profe de Historia.
34 años.
Hincha de Banfield.
Banfield - Olavarría.
Junto a Ale desde 2004.
#QueSeaLey 💚✌",16
35632,RT @nickcarter: Awesome job girls! #StayHome and #staysafe so we can all be together soon ❤️,"Special education teacher, @backstreetboys 's fan and @nickcarter girl since 1997. Chilean 🇨🇱 Member of @weirdworldchile",23
35682,"RT @nickotic: #NoPlace #Quarantine version 😂
Me and my friends made this, doing some ""normal"" things at home.
Please tag, rt, share!!

@bac…","Special education teacher, @backstreetboys 's fan and @nickcarter girl since 1997. Chilean 🇨🇱 Member of @weirdworldchile",23
35943,*sanitizes hands then face palm*,"Aspiring writer, avid reader and overall a young woman with a brain on her shoulders. Girlfriend of a Warhammer 40K nerd.",34
35974,"#Quarantine does not suck when you have this in your #backyard...
#likeaboss

#Traders love #pizza ;)

#stayhome do… https://t.co/YB8q5be3c6","ITMS: Established In 2007. Our Pros Have Over 4 Decades Of REAL Trading Experience And Over A Decade Of VERIFIED, Unmatched Performance @ https://t.co/sb2sfvItGV.",13
36031,"RT @nickotic: #NoPlace #Quarantine version 😂
Me and my friends made this, doing some ""normal"" things at home.
Please tag, rt, share!!

@bac…","I love my family, music and chocolate. My passion is dancing & Backstreetboys.BSB FAN SINCE 1996.KTBSPA Love @nickcarter Followed by @aaroncarter @official5ive",24
36035,"#Repost summer_thedoggo (@get_repost)
・・・
Help Human Stay Safe @ Home With Extra Love And Kisses!!!!!
#stayhome… https://t.co/1YuszlpjfN","Special treatment for your special pet! Jl.Warung Jati Barat no. 23 12510 Phone: 021-7902371,7199917,25031985 082114276457 (WA only)🐶🐱🐰",21
36254,RT @nickcarter: Awesome job girls! #StayHome and #staysafe so we can all be together soon ❤️,"@BackstreetBoys fan since 1995. Nick Carter follows me since dec 15, 2016. BSB follow me since Jan 27, 2015!! Proud BSB Fan!! Q-Music fan!!",25
36322,"Let me just say, I love reading Tweets about #CommunityonNetflix! To see so many people enjoying the show is truly… https://t.co/b5O85rBU4S",Home of the Human Beings. Offering degrees in Theoretical Phys. Ed and Studyology. Founded 1974. Better than City College. #SixSeasonsandaMovie @CommunityTV,46
36358,"It's fluffy, melts in your mouth and has the most soul warming taste.#quarantine #wfh #fudgebrownies… https://t.co/JOcNQMBkme","Since 1951. Bean To Bar, Premium Curvature Ooty Chocolates And Nilgiri Products.",69
36360,"Anyone else want to start a Petition to get rid of the "" Are you still watching _____?"" messag from Netflix durning… https://t.co/R7Vdqj2H8m",Trying to figure life out starting with Twitter! 😂,26
36383,"Son Heung-min is using his Covid-19 downtime to finish off his national service with the South Korean army.

Whats… https://t.co/8EKLtWMjfi","It's the Spurs Show, the most listened to weekly #THFC free podcast in the world since 2007. #COYS! Daily and premium  content at http://Patreon.com/spursshow",13
36387,"Anyone else want to start a Petition to get rid of the "" Are you still watching _____?"" message from Netflix durnin… https://t.co/2n3tiJUd5H",Trying to figure life out starting with Twitter! 😂,26
36388,"RT @AishaStaggers: Quarantine Life Week #4: At least 10 times a day, I find me asking myself, ""how the fuck did we get here?!"" I thought 20…","This is 4:
Dr. Prince Rogers Nelson 💜
June 7, 1958 ~ April 21, 2016
#PurpleFamily 💜
#Love4OneAnother 💜
#ProtectPrince #RespectPrince
@ladyj5569 Admin",62
36438,Watching (rerererewatching) #GroundhogDay with my yoginipal M. watching from her #quarantine a town away. Falling i… https://t.co/vvHJr8FGv5,"voted number 1 twice nationally for green on Twitter. Our mission: to share the mindful life beyond the choir, since 2002. May it be of benefit!",18
36481,"Call the police...🙄😂🤣
#coronavirus #COVID-19 #washyourhands #stayhome #funny #quarantine #pandemicpersonality #eat… https://t.co/puN0SHSsmx",Retweets are not endorsements 😍😘.,40
36498,"RT @KyleLowder22: ...we’re all just tryin to make due.
#quarantine #quarantinelife https://t.co/eayzdg9ldC","birthday November24, 1965",55
36512,"🙄😂🤣😂🤣🌮🌯🍶🍷🍻🍋🍵🧟‍♂️🧟‍♀️
#coronavirus #COVID-19 #washyourhands #stayhome #funny #quarantine #pandemicpersonality… https://t.co/FKenw7toDt",Retweets are not endorsements 😍😘.,40
36619,RT @Andi29962375: Companies use stock photos for ads.  Do you like taking pictures and need to make a few extra dollars while you're home?…,18+ 💎I’m not an escort or prostitute; no meets. I’m 27 IG: trkg1992 $15 tribute before I respond $trkg92 / http://PayPal.me/trkg92,28
36785,"Good Morning everybody ❤️wish you a sunny day fulfilled with happiness and health🌞
#COVID19 #Quarantine","Proud Mommy and wife
BSB Fangirl since 1996 ❤️
Living the best life 🐕👨‍👩‍👧🎶🏡",24
36802,"Say hello to moddys classic nuts.  you just won't stop with one, it's a chocoholics cracker.https://t.co/BglygQNE66… https://t.co/ArkmXcfzJ7","Since 1951. Bean To Bar, Premium Curvature Ooty Chocolates And Nilgiri Products.",69
36913,Kerala first heard of 'Quarantine' word in travelogue written 2 centuries ago https://t.co/KbAsdvI7nf #quarantine,"The online publication of Mathrubhumi was started on 5th September 1997. Now it publishes informative channels such as Entertainment, sports, health, education,",23
36951,If you’re willing to get others sick like this guy... dont ask for a ventilator when you show up at the hospital.… https://t.co/v5ztJnqzMo,Baseball... Come Back :(,40
37192,RT @JaySmoothXXX: Quarantine Day 10. Temporary ran out of clean clothes. Check with me at my https://t.co/5wsz7HZZ9T for more updates. #Qua…,"Nueva Cuenta 😊😊
Fracasando since 1993 :'v",27
37278,"Morning Run Stay Safe.
🇨🇦🏃‍♂️🤙 
#world #exercise #exercisemotivation #exerciseismedicine #covid_19 #quarantine… https://t.co/faywhzKbJy","🇨🇦 HABS FAN FOREVER.
#GOHABSGO #montreal_canadiens Photography is my hobby.
Next : 🇵🇭Philippines 2020

Check out my instagram.📸",54
37398,"RT @Ih8uJ: Me trying to take this 
#QuarantineLife like a CHAMP!
😂🤣🤣😭
#ChinaFlu
#Quarantine
#StayAtHome 
#ChineseVirus 😷
#KungFluFighting h…",TIME Magazine Person of the Year - 2006. Enemy of the Left. I’ve BLED for my country. What have you done?,14
37461,RT @AmecOrg: Join @AmecOrg #VirtualHH April 14th at 5pm EST. THX to  #zoombombchuckleheads we can't share public link. AMEC membership not…,DG @PRCA_UK @PRCA_MENA @PRCA_SEA @PRCA_LATAM; CEO @ICCOpr; Executive Director @LGComms; Visiting Professor @richmonduni; Fellow @AssocProfSales,45
37572,"RT @chrisgonzo28: Hey Siri “play Lonely child by nba Youngboy”  
 #Quarantine",Proud Husband and Father...5th Round Pick 1999 NFL Draft / Offensive Coordinator / Receivers / Colorado Alumnus / 2016 PAC-12 South Champs #CUlture 🗣💯🔥🔥🔥🔥,21
37587,Presenting me with my embarrassing dance moves to the song ME! during #Quarantine 💃🏻💖😜  #selfcare got me and… https://t.co/GrbK2IoSbI,Basic chick who is a die heart swiftie&loves to skate⛸💟 waiting to attend Taylor’s concert #RepresentedIndiax2InSpeedRollerSkating 🏹 STAN PAPER RINGS@1989,31
37696,"RT @joebradford: Mentioning this as a note to those celebrating ""The great Muslim Physician #IbnSina"" w/ made up stories about #Quarantine…",,42
37708,RT @aleksmunoz: The Irony of Wisconsinites voting during  a Pandemic on WORLD HEALTH DAY!!!!@GOP WTH #gop #trump #COVID19 #quarAntine #Worl…,'Got to keep your eye on Putin.'-Me 2016. JD. USConst rocks. Israel1948 has bcome the monster which created it. 🤬 Fred Drumpf was a sex traffckr. #Resist,72
37792,@IngrahamAngle you’re smarter than 99% of @HouseGOP @SenateGOP open our damn country we need to work 98% survive… https://t.co/5dXJ71uZkq,Commercial Real Estate broker since 1987.,33
37793,imagine being in lockdown with Ariana @ArianaGrande 😍 gurllll I’ll be giving it 0.5 seconds before I perform the wh… https://t.co/MtWjcCSuGL,🍬ɥɐǝʎ 'ǝpnʇıʇʇɐ ǝɥʇ ɥʇıʍ ןןoɹ ʞɔǝu,19
37801,"RT @BoultAudio: Huge shout out to our Boult Bollywood Baes!! 🤩❤️
Congratulations guys!!! 🥳🥳
Thank you so much for participating &amp; letting u…","Photo lovers / selfie Frank /
 I like nature photography",20
37827,"RT @KathyMyon: Junhong's Instagram post 

""The angle keeps collapsing🙍‍♂️ When will Corona be over... #quarantine"" https://t.co/XR1iIafSLR",𝘣.𝘢.𝘱 𝘢𝘵𝘦𝘦𝘻 & 𝘮𝘰𝘴𝘵 𝘵𝘩𝘪𝘯𝘨𝘴 𝘪𝘯 𝘣𝘦𝘵𝘸𝘦𝘦𝘯 - 120706 - 170412 - 181115 - 181124 - 181125 - 200208 - 200407 - 𝘪𝘨 𝘢𝘤𝘤: kys_moon - 🇲🇾,18
37864,Over a months worth just for me😊😊💨💨💨,"Finder of Truth! Weed, and Friends Matter! Troll blocker !! FUCKtRump!  Cops are Murders! The GOP must Be Stopped!End Racism! Yes my spelling Sucks😂",29
38048,"Perfect time to buy a #vacationhome #investmentproperty
#GhostTown awesome video awesome #music something to rememb… https://t.co/cbFAsZb0xC","Grateful #WNC http://WNCMOVERS.COM 
stranded in #Honolulu #Hawaii
Amazon affiliate in Asheville 828-713-1999 
https://www.amazon.com/shop/localguysmover",21
38288,Virtual ROSES In Bloom to those honoring their life in wake of this Global 🌎🌏🌍💙✌ #Pandemic #Epidemic  Continue… https://t.co/nFGVU5aLiJ,"Digital MAG Pioneer❗1021❗ Global Lifestyle Magazine! 🌎🌏🌍 Motto: Limitless  & Timeless! Locking In Visitor's Since 2002!
REVAMP 2020❗Visit Us On #YouTube ❗🌟",18
38332,"Sharing her journey from Australia to India amid the #COVID19 crises, her 15 days of home #quarantine, fears due to… https://t.co/KISwZJyEzV","The George Institute for Global Health, India, established in 2007 to improve the health of all Indians.",13
38411,"RT @FiveTimesAugust: “Anyway, here’s a Wonderwall parody...” #quarantine #socialdistancing  https://t.co/DbVIew5m1L Have a laugh with me, c…","Husband, father, Christian, news junkie, trivia buff, Rangers/Mavericks/Longhorns fan, and recruiting contributor at @BON_SBNation and @UTSARivals.",38
38430,"RT @NoSmallMatter: ""This is beyond a job now"": Between job loss and #Quarantine, #Coronavirus has upended the #ChildCare workforce. Their v…",We have lived in Nevada since 1991.I retired after 40 years of teaching in 2016.,29
38466,"Governments have tried to suppress human behavior over time. Historically speaking, the only way it is truly succes… https://t.co/Jax4rXfx2y","God, guns, keep your own change, conservative, drain the swamp, KC Royals and Chiefs",19
38495,RT @BrandonStraka: “Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to…,"Baylor University'75 Athenean/Kappa Kappa Gamma. Wife to a Baylor Alum, Mother to 3 Baylor alumni & Mimi to my precious grandchildren! Sicem Everyday!!!",45
38511,The Light of the Night Sky - Someday this current pandemic will be over and Hope will shine even through the darkes… https://t.co/9fLAkuu9kf,,12
38535,"Mr President.. Why don’t you #donate all your hotels for needed hospitals bed! Let’s keep reposting...

#Trump… https://t.co/3eHfixMIul",,29
38629,We shouldn't have to be in quarantine and lockdown because of the communist country of China... They should be sanc… https://t.co/d2XFJybr2r,🌎My World 🛩Aviation Enthusiast 🇨🇦Toronto 🔬Lab Chemist 🎄December 25th 1988 📌Travelling 🏈LA Rams 📸Photography 🏛Museums 📱Android 🚀Astronomy 🗽Landmarks,32
38734,RT @BrandonStraka: “Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to…,"Retired English teacher(37yrs), 1961-62 WAC, Patriotic, 77 years young. #MAGA...please capitalize P when referring to our President!",59
38766,I’m tired. I’ve been quarantined going into my 4th week. I’ve celebrated my bday and my fathers over 70 now. My bro… https://t.co/1L53eCcDyE,"Metal music. Atheist, not immoral. Wannabe rally driver. Awkward in life. I love my dogs, my husband, & my family. Beer & wine consumer. Environmentalist. Life.",32
38770,"RT @BadshahMPA: “He is not a believer whose stomach is filled while the neighbor to his side goes hungry.”

~ prophet Muhammad peace be upo…","MPA (PP-169) @pmln_org / Adviser to @CMShehbaz (2013-2018) #GS_Punjab on Public Issues (2008-2013)
#VicePresident Youth Wing (1999-2008) PMLN 1993-till ideology",12
38825,"RT @GhudMusic: Checkout @darkovibes ""Inna Song"" ft. @iamkingpromise dominating the airwaves since its release.
@live919fm @y1079fm &amp; @okay1…",,37
39140,"Stay aware, stay safe. Don't believe in rumours &amp; harm your health! Stay solid at home, stay healthy &amp; safe.… https://t.co/xyp40irUhh","Established in the year 2004, Star Cement with about 24% market share is indisputably, the largest brand in the North-East. Our WhatsApp number is 7595080005",16
39150,RT @siravariety: My FC edited version #quarantine https://t.co/ceL0u0Uo4X,うえしゃまこと上田麗奈さんにお熱なメガネをかけるのもかけた子を見るのも好きなアイマス全般P。上条春菜、高坂海美、小宮果穂担当！アイマスは2012年にモバマスから入りました。最近はプリコネが好き！愛車はZZR1100D型2001年式。 プリコネクラン「アイマスですよ！」サブリーダー,19
